NCOLS 3
NROWS 82970
XLLCENTER 726700
YLLCENTER 4820125
CELLSIZE 25
249.59453 23.17507 -932.0
249.60343 23.16786 -885.0
249.62123 23.15345 -841.0
249.6242 23.15104 -865.0
249.63013 23.14624 -970.0
249.63607 23.14143 -1065.0
249.63903 23.13903 -1126.0
249.642 23.13663 -1024.0
249.64793 23.13182 -1136.0
249.6509 23.12942 -1080.0
249.65386 23.12702 -1046.0
249.65683 23.12462 -1041.0
249.6598 23.12221 -996.0
249.66573 23.11741 -977.0
249.67166 23.1126 -970.0
249.6776 23.1078 -996.0
249.68042 23.10521 -977.0
249.68608 23.10002 -894.0
249.69456 23.09224 -789.0
249.69739 23.08964 -765.0
249.70021 23.08705 -784.0
249.70304 23.08446 -738.0
249.70587 23.08186 -680.0
249.7087 23.07927 -607.0
249.71435 23.07408 -522.0
249.71718 23.07149 -487.0
249.72001 23.0689 -487.0
249.72283 23.0663 -413.0
249.72566 23.06371 -384.0
249.72849 23.06112 -267.0
249.73131 23.05852 -226.0
249.73414 23.05593 -179.0
249.73697 23.05334 -122.0
249.7398 23.05074 -120.0
249.74262 23.04815 -207.0
249.74545 23.04556 -204.0
249.74828 23.04296 -241.0
249.7511 23.04037 -301.0
249.75959 23.03259 -477.0
249.76524 23.0274 -700.0
249.76807 23.02481 -728.0
249.77089 23.02221 -719.0
249.77372 23.01962 -721.0
249.77655 23.01703 -877.0
249.77938 23.01443 -977.0
249.78503 23.00925 -1163.0
249.78786 23.00665 -1128.0
249.79351 23.00147 -1210.0
249.79634 22.99887 -1185.0
249.79917 22.99628 -1212.0
249.80199 22.99369 -1237.0
249.80482 22.99109 -1024.0
249.80765 22.9885 -1024.0
249.8133 22.98331 -1110.0
249.81896 22.97812 -1013.0
249.82178 22.97553 -1065.0
249.82744 22.97034 -932.0
249.83027 22.96775 -894.0
249.83309 22.96516 -839.0
249.83592 22.96256 -859.0
249.83875 22.95997 -839.0
249.84157 22.95738 -894.0
249.8444 22.95478 -911.0
249.85006 22.9496 -821.0
249.85288 22.947 -865.0
249.85571 22.94441 -793.0
249.85854 22.94182 -784.0
249.86136 22.93922 -691.0
249.86419 22.93663 -651.0
249.86985 22.93144 -496.0
249.87267 22.92885 -545.0
249.8755 22.92626 -443.0
249.87833 22.92366 -413.0
249.89246 22.9107 -226.0
249.89529 22.9081 -202.0
249.9066 22.89773 -192.0
249.92074 22.88476 -192.0
249.92922 22.87698 -207.0
249.93487 22.87179 -273.0
249.9377 22.8692 -386.0
249.94018 22.86674 -396.0
249.94266 22.86428 -561.0
249.94761 22.85935 -496.0
249.95257 22.85443 -648.0
249.95504 22.85197 -821.0
249.95752 22.84951 -930.0
249.96 22.84705 -1017.0
249.96248 22.84459 -1191.0
249.96495 22.84213 -1163.0
249.96743 22.83967 -996.0
249.97239 22.83474 -754.0
249.97487 22.83228 -598.0
249.97734 22.82982 -437.0
249.97982 22.82736 -396.0
249.9823 22.8249 -507.0
249.98513 22.82273 -485.0
249.98795 22.82057 -458.0
249.99078 22.8184 -549.0
249.99361 22.81623 -453.0
249.99644 22.81407 -503.0
249.99926 22.8119 -420.0
250.00492 22.80757 -574.0
250.00775 22.80541 -479.0
250.01057 22.80324 -424.0
250.0134 22.80107 -433.0
250.01623 22.79891 -563.0
250.01905 22.79674 -661.0
250.02188 22.79457 -641.0
250.02471 22.79241 -652.0
250.02754 22.79024 -723.0
250.03036 22.78808 -786.0
250.03319 22.78591 -897.0
250.03602 22.78374 -967.0
250.03885 22.78158 -980.0
250.04167 22.77941 -1009.0
250.0445 22.77725 -980.0
250.04733 22.77508 -1064.0
250.05016 22.77291 -1149.0
250.05298 22.77075 -1230.0
250.05581 22.76858 -1279.0
250.05864 22.76642 -1434.0
250.06147 22.76425 -1434.0
250.06995 22.75775 -1641.0
250.07843 22.75125 -1864.0
250.08126 22.74909 -1930.0
250.08408 22.74692 -1957.0
250.08691 22.74476 -1966.0
250.09257 22.74042 -1864.0
250.09822 22.73609 -1806.0
250.10388 22.73176 -1757.0
250.10953 22.72743 -1642.0
250.11236 22.72526 -1585.0
250.11518 22.7231 -1547.0
250.11801 22.72093 -1547.0
250.12367 22.7166 -1587.0
250.12649 22.71443 -1547.0
250.12932 22.71227 -1534.0
250.13215 22.7101 -1566.0
250.14063 22.7036 -1589.0
250.14629 22.69927 -1661.0
250.14911 22.6971 -1836.0
250.15477 22.69277 -1961.0
250.15759 22.6906 -1983.0
250.16042 22.68844 -2032.0
250.16608 22.68411 -2107.0
250.1689 22.68194 -2126.0
250.17456 22.67761 -2129.0
250.18021 22.67328 -2207.0
250.18304 22.67111 -2216.0
250.1887 22.66678 -2321.0
250.19718 22.66028 -2366.0
250.20283 22.65595 -2461.0
250.21131 22.64945 -2508.0
250.22545 22.63862 -2555.0
250.23959 22.62779 -2622.0
250.25373 22.61696 -2688.0
250.26786 22.60613 -2743.0
250.282 22.5953 -2790.0
250.29721 22.58583 -2828.0
250.31242 22.57636 -2856.0
250.32763 22.56689 -2865.0
250.34284 22.55741 -2830.0
250.35805 22.54794 -2809.0
250.37327 22.53847 -2771.0
250.38848 22.529 -2811.0
250.40369 22.51953 -2845.0
250.4189 22.51006 -2846.0
250.43411 22.50058 -2884.0
250.44932 22.49111 -2921.0
250.46454 22.48164 -2940.0
250.47975 22.47217 -2974.0
250.49496 22.4627 -2987.0
250.51017 22.45323 -3025.0
250.52538 22.44376 -3053.0
250.54059 22.43428 -3070.0
250.5558 22.42481 -3079.0
250.57102 22.41534 -3081.0
250.58623 22.40587 -3072.0
250.60144 22.3964 -3053.0
250.60448 22.3945 -3021.0
250.61057 22.39072 -3006.0
250.61665 22.38693 -2694.0
250.62273 22.38314 -2602.0
250.63186 22.37746 -2491.0
250.63795 22.37367 -2592.0
250.64707 22.36798 -2733.0
250.65012 22.36609 -2856.0
250.6562 22.3623 -3100.0
250.65924 22.36041 -3116.0
250.66228 22.35851 -3118.0
250.6775 22.34904 -3118.0
250.69271 22.33957 -3126.0
250.70792 22.3301 -3103.0
250.72313 22.32063 -3128.0
250.73226 22.31494 -3096.0
250.7353 22.31305 -3126.0
250.73834 22.31116 -3090.0
250.75355 22.30168 -3072.0
250.76877 22.29221 -3068.0
250.77181 22.29032 -3066.0
250.77485 22.28843 -2987.0
250.78702 22.28085 -2980.0
250.79006 22.27895 -2968.0
250.7931 22.27706 -2970.0
250.79615 22.27516 -2933.0
250.79919 22.27327 -2936.0
250.80223 22.27138 -2978.0
250.80527 22.26948 -3043.0
250.8144 22.2638 -3055.0
250.81744 22.2619 -3147.0
250.82048 22.26001 -3130.0
250.82961 22.25433 -3096.0
250.83265 22.25244 -3130.0
250.83569 22.25054 -3116.0
250.83873 22.24865 -3103.0
250.84178 22.24675 -3138.0
250.84482 22.24486 -3135.0
250.86003 22.23539 -3118.0
250.86307 22.2335 -2950.0
250.86915 22.22971 -2884.0
250.8722 22.22782 -2933.0
250.87524 22.22592 -2875.0
250.88132 22.22213 -2684.0
250.88741 22.21835 -2536.0
250.89045 22.21645 -2428.0
250.89653 22.21266 -2564.0
